Constituents,Symbol,Macro-Economic Sector
CERA SANITARYWARE LTD.,532443,Consumer Discretionary
CESC LTD.,500084,Utilities
CG Power and Industrial Soluti,500093,Industrials
Chalet Hotels Limited,542399,Consumer Discretionary
CHAMBAL FERTILISERS & CHEMICAL,500085,Commodities
Chemplast Sanmar Limited,543336,Commodities
CHENNAI PETROLEUM CORPORATION,500110,Energy
CHOICE INTERNATIONAL LTD.,531358,Financial Services
CHOLAMANDALAM FINANCIAL HOLDIN,504973,Financial Services
CHOLAMANDALAM INVESTMENT AND F,511243,Financial Services
CIE Automotive India Limited,532756,Consumer Discretionary
CIPLA LTD.,500087,Healthcare
CITY UNION BANK LIMITED,532210,Financial Services
Clean Science and Technology L,543318,Commodities
CMS Info Systems Limited,543441,Services
COAL INDIA LTD.,533278,Energy
Cochin Shipyard Limited,540678,Industrials
COFORGE LIMITED,532541,Information Technology
Cohance Lifesciences Limited,543064,Healthcare
COLGATE-PALMOLIVE (INDIA) LTD.,500830,Fast Moving Consumer Goods
Computer Age Management Servic,543232,Financial Services
Concord Biotech Limited,543960,Healthcare
CONTAINER CORPORATION OF INDIA,531344,Services
COROMANDEL INTERNATIONAL LTD.,506395,Commodities
Corona Remedies Limited,544644,Healthcare
Craftsman Automation Limited,543276,Consumer Discretionary
CreditAccess Grameen Ltd.,541770,Financial Services
CRISIL LTD.,500092,Financial Services
CRIZAC LIMITED,544439,Consumer Discretionary
Crompton Greaves Consumer Elec,539876,Consumer Discretionary
CSB Bank Limited,542867,Financial Services
CUMMINS INDIA LTD.,500480,Industrials
CUPID LTD.,530843,Fast Moving Consumer Goods
Cyient DLM Limited,543933,Industrials
CYIENT LIMITED,532175,Information Technology
D B CORP LTD,533151,Consumer Discretionary
DABUR INDIA LTD.,500096,Fast Moving Consumer Goods
DALMIA BHARAT LIMITED,542216,Commodities
Data Patterns (India) Limited,543428,Industrials
DATAMATICS GLOBAL SERVICES LTD,532528,Information Technology
DCB BANK LIMITED,532772,Financial Services
DCM SHRIRAM LIMITED,523367,Diversified
DCX Systems Limited,543650,Industrials
DEEPAK FERTILISERS & PETROCHEM,500645,Commodities
DEEPAK NITRITE LTD.,506401,Commodities
Delhivery Limited,543529,Services
Devyani International Limited,543330,Consumer Discretionary
DHANUKA AGRITECH LTD.,507717,Commodities
DIAMOND POWER INFRASTRUCTURE L,522163,Industrials
Dilip Buildcon Limited,540047,Industrials
Dishman Carbogen Amcis Limited,540701,Healthcare
DIVGI TORQTRANSFER SYSTEMS LIM,543812,Consumer Discretionary
DIVIS LABORATORIES LTD.,532488,Healthcare
Dixon Technologies (India) Lim,540699,Consumer Discretionary
DLF LTD.,532868,Consumer Discretionary
Dodla Dairy Limited,543306,Fast Moving Consumer Goods
DOMS Industries Limited,544045,Fast Moving Consumer Goods
Dr. Agarwal's Health Care Limi,544350,Healthcare
Dr. Lal Pathlabs Limited,539524,Healthcare
DR.REDDYS LABORATORIES LTD.,500124,Healthcare
DYNAMATIC TECHNOLOGIES LTD.,505242,Industrials
E.I.D.-PARRY (INDIA) LTD.,500125,Fast Moving Consumer Goods
ECLERX SERVICES LTD.,532927,Services
EDELWEISS FINANCIAL SERVICES L,532922,Financial Services
EICHER MOTORS LTD.,505200,Consumer Discretionary
EIH ASSOCIATED HOTELS LTD.,523127,Consumer Discretionary
EIH LTD.,500840,Consumer Discretionary
ELANTAS BECK INDIA LTD.,500123,Commodities
ELECON ENGINEERING CO.LTD.,505700,Industrials
Electronics Mart India Limited,543626,Consumer Discretionary
ELECTROSTEEL CASTINGS LTD.,500128,Industrials
ELGI EQUIPMENTS LTD.,522074,Industrials
ELLENBARRIE INDUSTRIAL GASES L,544421,Commodities
EMAMI LTD.,531162,Fast Moving Consumer Goods
EMBASSY DEVELOPMENTS LIMITED,532832,Consumer Discretionary
Emcure Pharmaceuticals Limited,544210,Healthcare
Emmvee Photovoltaic Power Limi,544608,Industrials
EMS LIMITED,543983,Utilities
eMudhra Limited,543533,Information Technology
Endurance Technologies Limited,540153,Consumer Discretionary
ENGINEERS INDIA LTD.,532178,Industrials
Entero Healthcare Solutions Li,544122,Consumer Discretionary
ENVIRO INFRA ENGINEERS LIMITED,544290,Utilities
EPACK Durable Limited,544095,Consumer Discretionary
Epigral Limited,543332,Commodities
EPL LIMITED,500135,Industrials
Equitas Small Finance Bank Lim,543243,Financial Services
Eris Lifesciences Limited,540596,Healthcare
ESAB INDIA LTD.,500133,Industrials
Escorts Kubota Limited,500495,Industrials
Eternal Limited,543320,Consumer Discretionary
ETHOS LIMITED,543532,Consumer Discretionary
Eureka Forbes Limited,543482,Consumer Discretionary
EVEREADY INDUSTRIES INDIA LTD.,531508,Fast Moving Consumer Goods
EXIDE INDUSTRIES LTD.,500086,Consumer Discretionary
FDC LTD.,531599,Healthcare
Fedbank Financial Services Lim,544027,Financial Services
FEDERAL BANK LTD.,500469,Financial Services
FEDERAL-MOGUL GOETZE (INDIA) L,505744,Consumer Discretionary
FIEM INDUSTRIES LTD.,532768,Consumer Discretionary
FILATEX INDIA LTD.,526227,Consumer Discretionary
Fine Organic Industries Limite,541557,Commodities
FINEOTEX CHEMICAL LTD.,533333,Commodities
FINOLEX CABLES LTD.,500144,Industrials
FINOLEX INDUSTRIES LTD.,500940,Industrials
FIRSTSOURCE SOLUTIONS LTD.,532809,Services
FISCHER MEDICAL VENTURES LIMIT,524743,Healthcare
Five-Star Business Finance Ltd,543663,Financial Services
Flair Writing Industries Limit,544030,Fast Moving Consumer Goods
FORCE MOTORS LTD.,500033,Consumer Discretionary
FORTIS HEALTHCARE LTD.,532843,Healthcare
FOSECO INDIA LTD.,500150,Commodities
FSN E-Commerce Ventures Limite,543384,Consumer Discretionary
